experiment,display_name_zh,direction_zh,task_type,baseline_failure_variant_success,baseline_success_variant_failure,both_success,both_failure,net_successes
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,pick_cool_then_place_in_recep,2,6,12,1,-4
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,look_at_obj_in_light,4,2,0,12,2
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,pick_two_obj_and_place,2,4,4,7,-2
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,overall,8,14,77,35,-6
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,pick_and_place_simple,1,3,19,1,-2
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,pick_clean_then_place_in_recep,2,5,16,8,-3
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,pick_heat_then_place_in_recep,1,1,19,2,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,pick_cool_then_place_in_recep,2,3,15,1,-1
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,look_at_obj_in_light,1,0,2,15,1
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,pick_two_obj_and_place,1,2,6,8,-1
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,overall,11,11,80,32,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,pick_and_place_simple,1,2,20,1,-1
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,pick_clean_then_place_in_recep,4,4,17,6,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,pick_heat_then_place_in_recep,1,1,19,2,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,pick_cool_then_place_in_recep,2,2,16,1,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,look_at_obj_in_light,1,0,2,15,1
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,pick_two_obj_and_place,2,2,6,7,0
