experiment,display_name_zh,direction_zh,seed,task_type,success_rate,avg_env_steps,avg_success_env_steps,avg_agent_turns,avg_llm_calls,invalid_action_rate,parse_failure_rate,repeated_action_rate,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,successes,episodes,errors
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,look_at_obj_in_light,0.05555555555555555,8.222222222222221,9.0,17.555555555555557,18.555555555555557,0.2635135135135135,0.5316455696202531,0.0,24816.11111111111,220.88888888888889,25037.0,1,18,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,pick_two_obj_and_place,0.4117647058823529,17.352941176470587,18.714285714285715,23.11764705882353,24.11764705882353,0.25084745762711863,0.24936386768447838,0.16610169491525423,35088.17647058824,419.3529411764706,35507.529411764706,7,17,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,pick_and_place_simple,0.7083333333333334,23.708333333333332,15.705882352941176,29.833333333333332,29.833333333333332,0.4200351493848858,0.0111731843575419,0.3163444639718805,74066.75,441.6666666666667,74508.41666666667,17,24,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,pick_clean_then_place_in_recep,0.2903225806451613,14.709677419354838,12.11111111111111,24.548387096774192,24.548387096774192,0.36622807017543857,0.19185282522996058,0.2631578947368421,63117.903225806454,337.5483870967742,63455.45161290323,9,31,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,pick_heat_then_place_in_recep,0.5652173913043478,16.782608695652176,11.307692307692308,31.956521739130434,31.956521739130434,0.21243523316062177,0.021768707482993196,0.14507772020725387,68307.91304347826,689.6086956521739,68997.52173913043,13,23,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,pick_cool_then_place_in_recep,0.3333333333333333,16.19047619047619,8.428571428571429,31.333333333333332,31.333333333333332,0.21764705882352942,0.10638297872340426,0.16176470588235295,72580.61904761905,602.5714285714286,73183.19047619047,7,21,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,look_at_obj_in_light,0.16666666666666666,17.944444444444443,13.666666666666666,45.888888888888886,45.888888888888886,0.23839009287925697,0.16585956416464892,0.018575851393188854,112316.5,1037.388888888889,113353.88888888889,3,18,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,pick_two_obj_and_place,0.11764705882352941,21.294117647058822,13.5,33.11764705882353,33.11764705882353,0.3259668508287293,0.13321492007104796,0.2541436464088398,70587.41176470589,377.29411764705884,70964.70588235294,2,17,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,pick_and_place_simple,0.8333333333333334,11.25,11.85,15.083333333333334,15.083333333333334,0.0962962962962963,0.08839779005524862,0.04814814814814815,72048.20833333333,169.45833333333334,72217.66666666667,20,24,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,pick_clean_then_place_in_recep,0.5483870967741935,11.741935483870968,10.941176470588236,18.93548387096774,18.93548387096774,0.18406593406593408,0.17717206132879046,0.10714285714285714,92812.67741935483,223.93548387096774,93036.6129032258,17,31,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,pick_heat_then_place_in_recep,0.7391304347826086,11.434782608695652,12.117647058823529,16.782608695652176,16.782608695652176,0.04182509505703422,0.12435233160621761,0.011406844106463879,81883.52173913043,173.8695652173913,82057.39130434782,17,23,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,pick_cool_then_place_in_recep,0.5238095238095238,10.0,7.636363636363637,16.19047619047619,16.19047619047619,0.0380952380952381,0.23529411764705882,0.004761904761904762,78290.09523809524,150.95238095238096,78441.04761904762,11,21,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,look_at_obj_in_light,0.0,17.5,0.0,35.166666666666664,35.166666666666664,0.27936507936507937,0.20221169036334913,0.012698412698412698,178056.61111111112,630.6111111111111,178687.22222222222,0,18,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,pick_two_obj_and_place,0.47058823529411764,22.235294117647058,21.875,32.8235294117647,32.8235294117647,0.21957671957671956,0.10931899641577061,0.07671957671957672,162865.35294117648,442.29411764705884,163307.64705882352,8,17,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,pick_and_place_simple,0.125,11.333333333333334,11.0,22.125,22.125,0.6286764705882353,0.3709981167608286,0.08088235294117647,10280.5,174.70833333333334,10455.208333333334,3,24,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,pick_clean_then_place_in_recep,0.16129032258064516,14.548387096774194,15.8,26.967741935483872,26.967741935483872,0.49445676274944567,0.27392344497607657,0.36807095343680707,15633.354838709678,320.5806451612903,15953.935483870968,5,31,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,pick_heat_then_place_in_recep,0.0,11.652173913043478,0.0,28.565217391304348,28.565217391304348,0.5111940298507462,0.3181126331811263,0.291044776119403,17965.217391304348,372.7391304347826,18337.956521739132,0,23,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,pick_cool_then_place_in_recep,0.0,6.380952380952381,0.0,33.80952380952381,33.80952380952381,0.917910447761194,0.4830985915492958,0.5671641791044776,25233.95238095238,424.7142857142857,25658.666666666668,0,21,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,look_at_obj_in_light,0.0,15.944444444444445,0.0,28.72222222222222,28.72222222222222,0.5435540069686411,0.29206963249516443,0.07665505226480836,16150.111111111111,288.0,16438.11111111111,0,18,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,pick_two_obj_and_place,0.0,11.235294117647058,0.0,20.529411764705884,20.529411764705884,0.6387434554973822,0.3839541547277937,0.4869109947643979,9708.235294117647,194.1764705882353,9902.411764705883,0,17,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,pick_and_place_simple,0.5833333333333334,20.833333333333332,14.428571428571429,33.875,33.875,0.318,0.0,0.35,67717.0,505.625,68222.625,14,24,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,pick_clean_then_place_in_recep,0.5806451612903226,12.35483870967742,9.61111111111111,33.41935483870968,33.41935483870968,0.1671018276762402,0.0,0.13577023498694518,84989.45161290323,646.2903225806451,85635.74193548386,18,31,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,pick_heat_then_place_in_recep,0.5217391304347826,9.695652173913043,7.666666666666667,33.91304347826087,33.91304347826087,0.03139013452914798,0.001282051282051282,0.1210762331838565,98736.34782608696,1008.4782608695652,99744.82608695653,12,23,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,pick_cool_then_place_in_recep,0.8571428571428571,10.0,8.61111111111111,17.904761904761905,17.904761904761905,0.15714285714285714,0.0026595744680851063,0.23809523809523808,44083.90476190476,300.2857142857143,44384.19047619047,18,21,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,look_at_obj_in_light,0.3333333333333333,34.27777777777778,17.666666666666668,45.72222222222222,45.72222222222222,0.39708265802269044,0.001215066828675577,0.6499189627228525,104602.83333333333,644.5555555555555,105247.38888888889,6,18,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,pick_two_obj_and_place,0.0,20.352941176470587,0.0,73.58823529411765,73.58823529411765,0.17052023121387283,0.0,0.08670520231213873,213697.9411764706,1898.7058823529412,215596.64705882352,0,17,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,pick_and_place_simple,0.875,18.75,14.285714285714286,21.041666666666668,21.041666666666668,0.33111111111111113,0.0,0.3022222222222222,38642.666666666664,210.79166666666666,38853.458333333336,21,24,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,pick_clean_then_place_in_recep,0.6774193548387096,21.548387096774192,12.095238095238095,27.838709677419356,27.838709677419356,0.5134730538922155,0.02433371958285052,0.4505988023952096,71134.3870967742,368.258064516129,71502.64516129032,21,31,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,pick_heat_then_place_in_recep,0.9130434782608695,11.478260869565217,9.80952380952381,16.869565217391305,16.869565217391305,0.041666666666666664,0.030927835051546393,0.01893939393939394,33857.913043478264,205.91304347826087,34063.82608695652,21,23,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,pick_cool_then_place_in_recep,0.7619047619047619,19.80952380952381,10.375,22.142857142857142,22.142857142857142,0.5673076923076923,0.0,0.5360576923076923,55413.42857142857,240.42857142857142,55653.857142857145,16,21,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,look_at_obj_in_light,0.05555555555555555,20.833333333333332,10.0,48.833333333333336,48.833333333333336,0.5386666666666666,0.11831626848691695,0.264,125063.33333333333,1061.0555555555557,126124.38888888889,1,18,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,pick_two_obj_and_place,0.5294117647058824,22.470588235294116,17.333333333333332,38.1764705882353,38.1764705882353,0.14397905759162305,0.03697996918335902,0.07853403141361257,90431.29411764706,618.2352941176471,91049.5294117647,9,17,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,pick_and_place_simple,0.20833333333333334,1.5,7.2,21.916666666666668,21.916666666666668,0.027777777777777776,0.0,0.0,38232.625,542.0,38774.625,5,24,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,pick_clean_then_place_in_recep,0.3870967741935484,10.290322580645162,10.333333333333334,35.67741935483871,35.67741935483871,0.06269592476489028,0.0027124773960217,0.003134796238244514,97059.54838709677,982.7741935483871,98042.32258064517,12,31,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,pick_heat_then_place_in_recep,0.5217391304347826,6.869565217391305,9.75,25.043478260869566,25.043478260869566,0.11392405063291139,0.001736111111111111,0.0759493670886076,53736.65217391304,566.1739130434783,54302.82608695652,12,23,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,pick_cool_then_place_in_recep,0.6666666666666666,11.761904761904763,8.571428571428571,31.857142857142858,31.857142857142858,0.11740890688259109,0.016442451420029897,0.0,90814.0,777.952380952381,91591.95238095238,14,21,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,look_at_obj_in_light,0.2222222222222222,9.944444444444445,10.0,40.166666666666664,40.166666666666664,0.13966480446927373,0.015214384508990318,0.0,111327.16666666667,1077.4444444444443,112404.61111111111,4,18,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,pick_two_obj_and_place,0.35294117647058826,12.705882352941176,18.833333333333332,39.294117647058826,39.294117647058826,0.05092592592592592,0.011976047904191617,0.0,100779.88235294117,1019.4117647058823,101799.29411764706,6,17,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,pick_and_place_simple,0.8333333333333334,18.125,12.9,20.583333333333332,20.583333333333332,0.1425287356321839,0.04048582995951417,0.020689655172413793,30461.333333333332,198.625,30659.958333333332,20,24,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,pick_clean_then_place_in_recep,0.5806451612903226,14.67741935483871,11.666666666666666,21.096774193548388,21.096774193548388,0.2703296703296703,0.14678899082568808,0.15384615384615385,40723.8064516129,237.90322580645162,40961.709677419356,18,31,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,pick_heat_then_place_in_recep,0.8695652173913043,14.0,8.6,16.82608695652174,16.82608695652174,0.015527950310559006,0.00516795865633075,0.012422360248447204,30129.739130434784,176.91304347826087,30306.652173913044,20,23,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,pick_cool_then_place_in_recep,0.8095238095238095,18.333333333333332,10.882352941176471,21.523809523809526,21.523809523809526,0.2883116883116883,0.0,0.2649350649350649,42422.80952380953,230.47619047619048,42653.28571428572,17,21,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,look_at_obj_in_light,0.16666666666666666,26.055555555555557,13.333333333333334,43.55555555555556,43.55555555555556,0.3603411513859275,0.13520408163265307,0.08315565031982942,75878.38888888889,799.5,76677.88888888889,3,18,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,pick_two_obj_and_place,0.4117647058823529,16.235294117647058,14.142857142857142,25.11764705882353,25.11764705882353,0.07246376811594203,0.1873536299765808,0.021739130434782608,44350.529411764706,304.29411764705884,44654.82352941176,7,17,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,pick_and_place_simple,0.875,16.833333333333332,13.19047619047619,19.291666666666668,28.291666666666668,0.1311881188118812,0.04319654427645788,0.022277227722772276,29141.208333333332,197.79166666666666,29339.0,21,24,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,pick_clean_then_place_in_recep,0.6774193548387096,13.451612903225806,11.428571428571429,19.580645161290324,28.483870967741936,0.19904076738609114,0.1186161449752883,0.14148681055155876,38616.77419354839,251.7741935483871,38868.54838709677,21,31,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,pick_heat_then_place_in_recep,0.8695652173913043,14.0,8.6,16.82608695652174,23.695652173913043,0.015527950310559006,0.00516795865633075,0.012422360248447204,30806.869565217392,186.69565217391303,30993.565217391304,20,23,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,pick_cool_then_place_in_recep,0.8571428571428571,16.285714285714285,10.666666666666666,18.476190476190474,27.238095238095237,0.3362573099415205,0.0,0.30701754385964913,36674.57142857143,206.04761904761904,36880.619047619046,18,21,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,look_at_obj_in_light,0.16666666666666666,22.61111111111111,13.333333333333334,38.22222222222222,65.5,0.3538083538083538,0.19186046511627908,0.03194103194103194,68782.66666666667,747.5,69530.16666666667,3,18,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,pick_two_obj_and_place,0.47058823529411764,16.58823529411765,14.875,25.235294117647058,39.470588235294116,0.0673758865248227,0.16783216783216784,0.02127659574468085,45805.41176470588,319.8235294117647,46125.23529411765,8,17,0
